,f_10,f_15,f_20,f_21,f_22,f_25,f_26,f_27,f_34,f_48,target
315,0.19,0.18,0.17,0.24,85.22,422.12,1.01,12.06,1.94,65.91,0
316,0.12,0.08,0.13,0.17,85.22,422.12,1.01,12.06,2.17,65.96,0
317,0.15,0.13,0.15,0.2,85.22,422.12,1.01,12.06,2.17,65.92,0
318,0.18,0.12,0.14,0.2,85.22,422.12,1.01,12.06,2.18,65.88,0
319,0.17,0.13,0.17,0.25,85.22,422.12,1.01,12.06,2.17,66.0,0
320,0.11,0.17,0.12,0.19,85.22,422.12,1.01,12.06,2.17,65.87,1
321,0.22,0.14,0.18,0.24,85.22,422.12,1.01,12.06,2.17,65.97,0
322,0.19,0.1,0.17,0.24,85.22,422.12,1.01,12.06,2.17,66.0,0
323,0.17,0.12,0.15,0.2,85.22,422.12,1.01,12.06,1.95,65.92,0
324,0.22,0.17,0.2,0.27,85.22,422.12,1.01,12.06,1.95,65.87,0
325,0.15,0.09,0.14,0.19,85.22,422.12,1.01,12.06,2.18,65.9,0
326,0.2,0.07,0.15,0.19,85.22,422.12,1.01,12.06,2.17,65.96,0
327,0.18,0.12,0.19,0.24,85.22,422.12,1.01,12.06,1.94,66.02,0
328,0.19,0.12,0.19,0.24,85.22,422.12,1.01,12.06,2.16,66.33,0
329,0.24,0.24,0.26,0.36,85.22,422.12,1.01,12.06,1.94,65.99,0
330,0.16,0.11,0.16,0.21,85.22,422.12,1.01,12.06,2.17,65.93,0
331,0.18,0.11,0.17,0.24,85.22,422.12,1.01,12.06,2.17,65.9,0
332,0.23,0.19,0.25,0.34,85.22,422.12,1.01,12.06,1.94,66.03,0
333,0.17,0.1,0.15,0.21,85.22,422.12,1.01,12.06,2.18,65.87,0
334,0.15,0.11,0.14,0.18,85.22,422.12,1.01,12.06,2.18,65.88,0
335,0.14,0.1,0.15,0.21,85.22,422.12,1.01,12.06,2.17,65.99,0
336,0.19,0.12,0.17,0.22,85.22,422.12,1.01,12.06,1.95,65.87,0
337,0.16,0.1,0.15,0.2,85.22,422.12,1.01,12.06,2.17,65.89,0
338,0.2,0.14,0.19,0.25,85.22,422.12,1.01,12.06,2.17,65.97,0
339,0.2,0.13,0.2,0.29,85.22,422.12,1.01,12.06,2.16,66.09,0
340,0.18,0.16,0.21,0.29,85.22,422.12,1.01,12.06,2.17,65.96,0
341,0.18,0.15,0.17,0.23,85.22,422.12,1.01,12.06,2.17,66.04,0
342,0.18,0.23,0.2,0.26,85.22,422.12,1.01,12.06,2.17,65.94,0
343,0.15,0.13,0.15,0.22,85.22,422.12,1.01,12.06,2.17,65.96,0
344,0.21,0.12,0.17,0.23,85.22,422.12,1.01,12.06,2.17,65.93,0
345,0.19,0.14,0.15,0.2,85.22,422.12,1.01,12.06,2.17,65.96,0
346,0.16,0.08,0.18,0.27,85.22,422.12,1.01,12.06,1.95,65.94,0
347,0.14,0.07,0.12,0.17,85.22,422.12,1.01,12.06,2.18,65.85,0
348,0.19,0.19,0.17,0.26,85.22,422.12,1.01,12.06,2.17,65.91,0
349,0.13,0.09,0.13,0.18,85.22,422.12,1.01,12.06,1.95,65.76,0
350,0.21,0.12,0.17,0.24,85.22,422.12,1.01,12.06,2.17,66.02,0
351,0.16,0.07,0.15,0.2,85.22,422.12,1.01,12.06,2.16,66.36,0
352,0.18,0.19,0.21,0.3,85.22,422.12,1.01,12.06,2.17,65.99,0
353,0.19,0.13,0.2,0.24,85.22,422.12,1.01,12.06,2.17,65.93,0
354,0.28,0.13,0.21,0.28,85.22,422.12,1.01,12.06,2.16,66.34,0
355,0.2,0.09,0.16,0.21,85.22,422.12,1.01,12.06,2.17,65.89,0
356,0.2,0.07,0.16,0.21,85.22,422.12,1.01,12.06,2.17,65.87,0
357,0.14,0.14,0.14,0.22,85.22,422.12,1.01,12.06,1.94,66.0,0
358,0.18,0.08,0.14,0.2,85.22,422.12,1.01,12.06,2.18,65.84,0
359,0.16,0.14,0.17,0.23,85.22,422.12,1.01,12.06,1.93,66.33,0
360,0.18,0.12,0.18,0.24,85.22,422.12,1.01,12.06,1.95,65.87,0
361,0.22,0.17,0.21,0.27,85.22,422.12,1.01,12.06,2.17,65.92,0
362,0.11,0.09,0.12,0.2,85.22,422.12,1.01,12.06,1.94,65.97,1
363,0.18,0.11,0.13,0.19,85.22,422.12,1.01,12.06,1.94,65.98,0
364,0.21,0.11,0.21,0.28,85.22,422.12,1.01,12.06,2.16,66.34,0
365,0.17,0.1,0.15,0.2,85.22,422.12,1.01,12.06,2.18,65.86,0
366,0.19,0.14,0.2,0.29,85.22,422.12,1.01,12.06,2.16,66.34,0
367,0.19,0.14,0.17,0.23,85.22,422.12,1.01,12.06,2.17,65.89,0
368,0.19,0.13,0.15,0.2,85.22,422.12,1.01,12.06,2.17,65.94,0
369,0.2,0.21,0.23,0.31,85.22,422.12,1.01,12.06,1.93,66.36,0
370,0.21,0.2,0.24,0.36,85.22,422.12,1.01,12.06,2.17,66.13,0
371,0.19,0.12,0.17,0.23,85.22,422.12,1.01,12.06,1.95,65.86,0
372,0.15,0.13,0.17,0.24,85.22,422.12,1.01,12.06,1.95,65.92,0
373,0.25,0.16,0.21,0.29,85.22,422.12,1.01,12.06,2.2,65.62,0
374,0.16,0.13,0.16,0.21,85.22,422.12,1.01,12.06,2.17,65.92,0
375,0.19,0.1,0.17,0.22,85.22,422.12,1.01,12.06,2.17,65.9,0
376,0.16,0.12,0.16,0.23,85.22,422.12,1.01,12.06,2.17,65.92,0
377,0.22,0.2,0.23,0.28,85.22,422.12,1.01,12.06,1.93,66.36,0
378,0.2,0.12,0.2,0.27,85.22,422.12,1.01,12.06,2.17,65.99,0
379,0.15,0.13,0.15,0.21,85.22,422.12,1.01,12.06,1.94,65.91,0
380,0.2,0.08,0.16,0.24,85.22,422.12,1.01,12.06,1.95,65.85,0
381,0.18,0.16,0.16,0.21,85.22,422.12,1.01,12.06,2.17,65.87,0
382,0.15,0.12,0.15,0.24,85.22,422.12,1.01,12.06,1.95,65.9,0
383,0.13,0.19,0.17,0.24,85.22,422.12,1.01,12.06,1.95,65.95,0
384,0.18,0.09,0.16,0.2,85.22,422.12,1.01,12.06,2.18,65.82,0
385,0.19,0.2,0.2,0.27,85.22,422.12,1.01,12.06,1.93,66.33,0
386,0.23,0.13,0.2,0.26,85.22,422.12,1.01,12.06,2.17,66.17,0
387,0.17,0.18,0.17,0.25,85.22,422.12,1.01,12.06,2.17,65.95,0
388,0.25,0.18,0.23,0.32,85.22,422.12,1.01,12.06,1.94,66.0,0
389,0.23,0.14,0.2,0.27,85.22,422.12,1.01,12.06,1.94,65.99,0
390,0.27,0.27,0.25,0.32,85.22,422.12,1.01,12.06,2.17,65.93,0
391,0.18,0.15,0.25,0.35,85.22,422.12,1.01,12.06,2.17,65.97,0
392,0.17,0.13,0.14,0.2,85.22,422.12,1.01,12.06,1.94,65.95,0
393,0.15,0.1,0.14,0.2,85.22,422.12,1.01,12.06,1.95,65.78,0
394,0.17,0.11,0.14,0.19,85.22,422.12,1.01,12.06,2.18,65.89,0
395,0.2,0.2,0.19,0.26,85.22,422.12,1.01,12.06,2.17,65.95,0
396,0.14,0.16,0.15,0.21,85.22,422.12,1.01,12.06,2.17,66.09,0
397,0.19,0.12,0.22,0.35,85.22,422.12,1.01,12.06,2.17,65.93,0
398,0.16,0.17,0.19,0.26,85.22,422.12,1.01,12.06,1.95,65.87,0
399,0.2,0.21,0.21,0.32,85.22,422.12,1.01,12.06,2.17,65.99,0
400,0.16,0.17,0.16,0.22,85.22,422.12,1.01,12.06,2.2,65.64,0
401,0.17,0.17,0.21,0.34,85.22,422.12,1.01,12.06,2.18,65.95,0
402,0.21,0.13,0.18,0.27,85.22,422.12,1.01,12.06,1.94,65.93,0
403,0.13,0.09,0.13,0.17,85.22,422.12,1.01,12.06,2.17,65.9,0
404,0.17,0.17,0.18,0.27,85.22,422.12,1.01,12.06,1.94,65.92,0
405,0.22,0.18,0.19,0.25,85.22,422.12,1.01,12.06,2.17,66.01,0
406,0.26,0.14,0.19,0.25,85.22,422.12,1.01,12.06,2.17,65.92,0
407,0.28,0.29,0.33,0.43,85.22,422.12,1.01,12.06,1.94,66.03,0
408,0.21,0.17,0.17,0.24,85.22,422.12,1.01,12.06,1.95,65.84,0
409,0.16,0.06,0.14,0.19,85.22,422.12,1.01,12.06,2.17,66.03,0
410,0.31,0.13,0.2,0.28,85.22,422.12,1.01,12.06,2.16,66.04,0
411,0.14,0.12,0.15,0.2,85.22,422.12,1.01,12.06,2.17,65.91,0
412,0.25,0.18,0.22,0.28,85.22,422.12,1.01,12.06,2.17,65.94,0
413,0.2,0.17,0.15,0.23,85.22,422.12,1.01,12.06,2.17,66.02,0
414,0.14,0.09,0.15,0.2,85.22,422.12,1.01,12.06,1.95,65.86,0
415,0.18,0.16,0.18,0.26,85.22,422.12,1.01,12.06,2.18,65.88,0
416,0.23,0.14,0.19,0.27,85.22,422.12,1.01,12.06,1.94,65.92,0
417,0.12,0.1,0.12,0.19,85.22,422.12,1.01,12.06,2.17,65.96,0
418,0.18,0.1,0.16,0.2,85.22,422.12,1.01,12.06,1.94,65.91,0
419,0.18,0.16,0.19,0.26,85.22,422.12,1.01,12.06,2.17,66.09,0
420,0.24,0.17,0.22,0.31,85.22,422.12,1.01,12.06,1.94,66.0,0
421,0.2,0.2,0.2,0.27,85.22,422.12,1.01,12.06,1.94,65.92,0
422,0.16,0.12,0.16,0.21,85.22,422.12,1.01,12.06,2.17,65.98,0
423,0.18,0.19,0.2,0.27,85.22,422.12,1.01,12.06,2.18,65.87,0
424,0.2,0.11,0.18,0.23,85.22,422.12,1.01,12.06,2.18,65.88,0
425,0.19,0.12,0.18,0.24,85.22,422.12,1.01,12.06,1.94,65.96,0
426,0.26,0.16,0.24,0.35,85.22,422.12,1.01,12.06,1.95,65.94,0
427,0.18,0.12,0.17,0.23,85.22,422.12,1.01,12.06,2.16,66.34,0
428,0.27,0.19,0.21,0.28,85.22,422.12,1.01,12.06,2.17,65.92,0
429,0.26,0.15,0.22,0.3,85.22,422.12,1.01,12.06,2.17,65.94,0
430,0.19,0.18,0.18,0.25,85.22,422.12,1.01,12.06,1.95,65.93,0
431,0.37,0.22,0.29,0.38,85.22,422.12,1.01,12.06,2.2,65.68,0
432,0.23,0.13,0.18,0.25,85.22,422.12,1.01,12.06,2.16,66.33,0
433,0.4,0.19,0.29,0.42,126.08,2025.42,-0.53,3.01,2.91,36.7,0
434,0.32,0.15,0.26,0.36,126.08,2025.42,-0.53,3.01,2.91,36.49,0
435,0.4,0.15,0.23,0.26,126.08,2025.42,-0.53,3.01,2.92,36.59,0
436,0.35,0.14,0.24,0.3,126.08,2025.42,-0.53,3.01,2.91,36.69,0
437,0.52,0.15,0.27,0.32,126.08,2025.42,-0.53,3.01,2.92,36.87,0
438,0.25,0.19,0.3,0.49,126.08,2025.42,-0.53,3.01,2.91,36.38,0
439,0.32,0.3,0.31,0.47,126.08,2025.42,-0.53,3.01,2.91,36.32,0
440,0.3,0.5,0.33,0.52,126.08,2025.42,-0.53,3.01,2.92,36.18,1
441,0.3,0.23,0.25,0.36,126.08,2025.42,-0.53,3.01,2.91,36.76,0
442,0.32,0.19,0.28,0.33,126.08,2025.42,-0.53,3.01,2.92,36.59,0
443,0.27,0.46,0.29,0.48,126.08,2025.42,-0.53,3.01,2.91,36.17,0
444,0.34,0.19,0.28,0.32,126.08,2025.42,-0.53,3.01,2.92,36.81,0
445,0.32,0.15,0.23,0.26,126.08,2025.42,-0.53,3.01,2.94,36.82,0
446,0.45,0.15,0.28,0.37,126.08,2025.42,-0.53,3.01,2.91,36.9,0
447,0.27,0.2,0.25,0.36,126.08,2025.42,-0.53,3.01,2.91,36.8,0
448,0.36,0.2,0.32,0.42,126.08,2025.42,-0.53,3.01,2.91,36.8,0
449,0.45,0.16,0.32,0.45,126.08,2025.42,-0.53,3.01,2.92,36.83,0
450,0.25,0.35,0.32,0.43,126.08,2025.42,-0.53,3.01,2.92,36.14,1
451,0.32,0.41,0.3,0.45,126.08,2025.42,-0.53,3.01,2.91,36.29,0
452,0.33,0.21,0.29,0.33,126.08,2025.42,-0.53,3.01,2.92,36.82,0
453,0.34,0.23,0.33,0.41,126.08,2025.42,-0.53,3.01,2.91,36.9,0
454,0.26,0.34,0.38,0.61,126.08,2025.42,-0.53,3.01,2.94,36.47,0
455,0.36,0.36,0.4,0.49,126.08,2025.42,-0.53,3.01,2.92,36.49,0
456,0.4,0.2,0.31,0.43,126.08,2025.42,-0.53,3.01,2.94,36.02,0
457,0.32,0.25,0.27,0.38,126.08,2025.42,-0.53,3.01,2.91,36.42,0
458,0.28,0.16,0.25,0.34,126.08,2025.42,-0.53,3.01,2.91,36.7,0
459,0.33,0.36,0.4,0.56,126.08,2025.42,-0.53,3.01,2.93,36.64,0
460,0.3,0.24,0.3,0.36,126.08,2025.42,-0.53,3.01,2.61,36.9,0
461,0.44,0.37,0.43,0.59,126.08,2025.42,-0.53,3.01,2.94,35.98,0
462,0.38,0.22,0.34,0.41,126.08,2025.42,-0.53,3.01,2.92,36.9,0
463,0.39,0.32,0.32,0.46,126.08,2025.42,-0.53,3.01,2.91,36.43,0
464,0.38,0.35,0.37,0.56,126.08,2025.42,-0.53,3.01,2.91,36.81,0
465,0.31,0.19,0.27,0.3,126.08,2025.42,-0.53,3.01,2.94,36.45,0
466,0.32,0.61,0.43,0.69,126.08,2025.42,-0.53,3.01,2.91,36.86,0
467,0.22,0.43,0.35,0.55,126.08,2025.42,-0.53,3.01,2.91,36.44,0
468,0.3,0.21,0.24,0.29,126.08,2025.42,-0.53,3.01,2.9,36.71,0
469,0.41,0.24,0.34,0.43,126.08,2025.42,-0.53,3.01,2.91,36.87,0
470,0.38,0.5,0.42,0.58,126.08,2025.42,-0.53,3.01,2.94,36.61,0
471,0.44,0.35,0.35,0.46,126.08,2025.42,-0.53,3.01,2.61,36.86,0
472,0.26,0.52,0.32,0.5,126.08,2025.42,-0.53,3.01,2.91,36.2,0
473,0.41,0.23,0.4,0.49,126.08,2025.42,-0.53,3.01,2.92,36.86,0
474,0.33,0.23,0.31,0.36,126.08,2025.42,-0.53,3.01,2.92,36.82,0
475,0.44,0.39,0.42,0.59,126.08,2025.42,-0.53,3.01,2.93,36.62,0
476,0.35,0.28,0.34,0.38,126.08,2025.42,-0.53,3.01,2.62,36.55,0
477,0.33,0.33,0.38,0.43,126.08,2025.42,-0.53,3.01,2.93,36.45,0
478,0.38,0.36,0.38,0.52,126.08,2025.42,-0.53,3.01,2.91,36.47,0
479,0.39,0.19,0.33,0.38,126.08,2025.42,-0.53,3.01,2.93,36.71,0
480,0.39,0.28,0.36,0.48,126.08,2025.42,-0.53,3.01,2.93,36.46,0
481,0.24,0.21,0.28,0.48,126.08,2025.42,-0.53,3.01,2.91,36.67,0
482,0.38,0.29,0.33,0.35,126.08,2025.42,-0.53,3.01,2.62,36.71,0
483,0.36,0.26,0.36,0.43,126.08,2025.42,-0.53,3.01,2.92,36.51,0
484,0.32,0.23,0.29,0.36,126.08,2025.42,-0.53,3.01,2.93,36.49,0
485,0.29,0.24,0.27,0.37,126.08,2025.42,-0.53,3.01,2.92,36.41,0
486,0.41,0.2,0.3,0.36,126.08,2025.42,-0.53,3.01,2.92,36.84,0
487,0.47,0.3,0.35,0.42,126.08,2025.42,-0.53,3.01,2.94,36.02,0
488,0.4,0.27,0.36,0.48,126.08,2025.42,-0.53,3.01,2.94,35.99,0
489,0.38,0.38,0.41,0.51,126.08,2025.42,-0.53,3.01,2.61,36.31,0
490,0.29,0.28,0.35,0.4,126.08,2025.42,-0.53,3.01,2.93,36.83,0
491,0.3,0.38,0.35,0.47,126.08,2025.42,-0.53,3.01,2.61,36.47,0
492,0.41,0.23,0.33,0.43,126.08,2025.42,-0.53,3.01,2.92,36.85,0
493,0.44,0.3,0.39,0.42,126.08,2025.42,-0.53,3.01,2.92,36.85,0
494,0.33,0.23,0.29,0.32,126.08,2025.42,-0.53,3.01,2.94,36.44,0
495,0.27,0.15,0.22,0.27,123.47,2036.8,-0.71,2.96,2.91,36.5,1
496,0.37,0.18,0.25,0.3,123.47,2036.8,-0.71,2.96,2.9,36.4,0
497,0.23,0.32,0.28,0.49,123.47,2036.8,-0.71,2.96,2.91,36.49,1
498,0.54,0.25,0.36,0.56,123.47,2036.8,-0.71,2.96,2.97,35.96,0
499,0.4,0.17,0.23,0.27,123.47,2036.8,-0.71,2.96,2.98,36.11,0
500,0.43,0.44,0.45,0.69,123.47,2036.8,-0.71,2.96,2.92,36.09,0
501,0.36,0.23,0.28,0.38,123.47,2036.8,-0.71,2.96,2.91,36.22,0
502,0.41,0.28,0.28,0.36,123.47,2036.8,-0.71,2.96,2.9,36.05,0
503,0.36,0.53,0.47,0.64,123.47,2036.8,-0.71,2.96,2.92,36.03,0
504,0.29,0.25,0.32,0.45,123.47,2036.8,-0.71,2.96,2.65,36.33,0
505,0.74,0.42,0.38,0.57,123.47,2036.8,-0.71,2.96,2.91,36.7,0
506,0.36,0.31,0.35,0.45,123.47,2036.8,-0.71,2.96,2.91,36.05,0
507,0.62,0.5,0.45,0.76,123.47,2036.8,-0.71,2.96,2.63,36.23,0
508,0.31,0.23,0.25,0.34,123.47,2036.8,-0.71,2.96,2.92,36.66,0
509,0.34,0.19,0.25,0.31,123.47,2036.8,-0.71,2.96,2.92,36.64,0
510,0.42,0.39,0.4,0.65,123.47,2036.8,-0.71,2.96,2.92,36.86,0
511,0.47,0.38,0.37,0.59,123.47,2036.8,-0.71,2.96,2.61,36.17,0
512,0.29,0.21,0.3,0.41,123.47,2036.8,-0.71,2.96,2.91,36.47,0
513,0.27,0.18,0.22,0.28,123.47,2036.8,-0.71,2.96,2.91,36.16,0
514,0.27,0.3,0.3,0.53,123.47,2036.8,-0.71,2.96,2.63,36.11,0
515,0.26,0.21,0.24,0.32,123.47,2036.8,-0.71,2.96,2.92,36.19,0
516,0.34,0.19,0.27,0.32,123.47,2036.8,-0.71,2.96,2.94,36.04,0
517,0.32,0.28,0.26,0.34,123.47,2036.8,-0.71,2.96,2.92,36.44,0
518,0.41,0.21,0.33,0.46,123.47,2036.8,-0.71,2.96,2.93,36.85,0
519,0.35,0.28,0.37,0.49,123.47,2036.8,-0.71,2.96,2.91,36.02,0
520,0.29,0.23,0.28,0.39,123.47,2036.8,-0.71,2.96,2.9,36.39,0
521,0.23,0.19,0.23,0.32,123.47,2036.8,-0.71,2.96,2.91,36.19,0
522,0.28,0.25,0.28,0.35,123.47,2036.8,-0.71,2.96,2.92,36.06,0
523,0.25,0.2,0.24,0.29,123.47,2036.8,-0.71,2.96,2.91,36.36,0
524,0.24,0.18,0.25,0.34,123.47,2036.8,-0.71,2.96,2.91,36.49,0
525,0.37,0.42,0.35,0.49,123.47,2036.8,-0.71,2.96,2.6,36.24,0
526,0.67,0.17,0.37,0.52,123.47,2036.8,-0.71,2.96,2.9,36.79,0
527,0.44,0.25,0.33,0.5,123.47,2036.8,-0.71,2.96,2.98,35.95,0
528,0.28,0.18,0.27,0.37,123.47,2036.8,-0.71,2.96,2.91,36.35,0
529,0.2,0.16,0.21,0.25,123.47,2036.8,-0.71,2.96,2.91,36.5,0
530,0.2,0.21,0.24,0.34,123.47,2036.8,-0.71,2.96,2.59,36.48,0
531,0.27,0.17,0.27,0.33,123.47,2036.8,-0.71,2.96,2.92,36.05,0
532,0.58,0.27,0.39,0.48,123.47,2036.8,-0.71,2.96,2.61,36.02,0
533,0.33,0.38,0.41,0.56,123.47,2036.8,-0.71,2.96,2.91,36.03,0
534,0.51,0.38,0.43,0.61,123.47,2036.8,-0.71,2.96,2.95,36.14,0
535,0.3,0.29,0.3,0.37,123.47,2036.8,-0.71,2.96,2.94,36.21,0
536,0.25,0.21,0.23,0.3,123.47,2036.8,-0.71,2.96,2.91,36.36,0
537,0.43,0.27,0.41,0.6,123.47,2036.8,-0.71,2.96,2.61,36.17,0
538,0.22,0.56,0.54,0.72,123.47,2036.8,-0.71,2.96,2.9,36.67,0
539,0.38,0.41,0.5,0.64,123.47,2036.8,-0.71,2.96,2.91,36.38,0
540,0.24,0.19,0.25,0.32,123.47,2036.8,-0.71,2.96,2.91,36.1,0
541,0.28,0.23,0.25,0.3,123.47,2036.8,-0.71,2.96,2.91,36.12,0
542,0.27,0.2,0.26,0.39,123.47,2036.8,-0.71,2.96,2.9,36.76,0
543,0.53,0.51,0.52,0.73,123.47,2036.8,-0.71,2.96,2.98,35.96,0
544,0.28,0.16,0.23,0.27,123.47,2036.8,-0.71,2.96,2.91,36.42,0
545,0.28,0.33,0.32,0.46,123.47,2036.8,-0.71,2.96,2.95,36.16,0
546,0.28,0.24,0.29,0.41,123.47,2036.8,-0.71,2.96,2.92,36.45,0
547,0.24,0.24,0.29,0.42,123.47,2036.8,-0.71,2.96,2.91,36.36,1
548,0.31,0.27,0.35,0.47,123.47,2036.8,-0.71,2.96,2.64,36.16,0
549,0.47,0.22,0.35,0.52,123.47,2036.8,-0.71,2.96,2.6,36.78,0
550,0.23,0.18,0.25,0.35,123.47,2036.8,-0.71,2.96,2.91,36.22,0
551,0.39,0.43,0.38,0.53,123.47,2036.8,-0.71,2.96,2.91,36.1,0
552,0.25,0.17,0.31,0.37,123.47,2036.8,-0.71,2.96,2.62,36.0,0
553,0.34,0.24,0.33,0.41,123.47,2036.8,-0.71,2.96,2.96,36.15,0
554,0.36,0.58,0.44,0.73,123.47,2036.8,-0.71,2.96,2.91,36.71,0
555,0.63,0.47,0.48,0.6,123.47,2036.8,-0.71,2.96,2.95,36.15,0
556,0.38,0.28,0.35,0.49,123.47,2036.8,-0.71,2.96,2.9,36.8,0
557,0.25,0.26,0.31,0.43,123.47,2036.8,-0.71,2.96,2.92,36.85,0
558,0.22,0.41,0.39,0.63,123.47,2036.8,-0.71,2.96,2.59,36.82,0
559,0.72,0.52,0.47,0.68,123.47,2036.8,-0.71,2.96,2.92,36.17,0
560,0.61,0.65,0.43,0.71,123.47,2036.8,-0.71,2.96,2.9,36.66,0
561,0.22,0.18,0.24,0.3,123.47,2036.8,-0.71,2.96,2.91,36.43,0
562,0.57,0.58,0.51,0.77,123.47,2036.8,-0.71,2.96,2.67,36.06,0
563,0.26,0.2,0.25,0.3,123.47,2036.8,-0.71,2.96,2.92,36.18,0
564,0.2,0.22,0.29,0.44,123.47,2036.8,-0.71,2.96,2.9,36.81,0
565,0.21,0.28,0.29,0.42,123.47,2036.8,-0.71,2.96,2.61,36.43,0
566,0.25,0.24,0.23,0.31,123.47,2036.8,-0.71,2.96,2.59,36.31,1
567,0.25,0.19,0.28,0.34,123.47,2036.8,-0.71,2.96,2.92,36.17,0
568,0.21,0.22,0.22,0.3,123.47,2036.8,-0.71,2.96,2.91,36.51,0
569,0.32,0.2,0.26,0.34,47.66,204.34,0.97,4.66,1.22,65.87,1
570,0.22,0.2,0.23,0.34,47.66,204.34,0.97,4.66,1.22,65.86,0
571,0.32,0.23,0.25,0.32,47.66,204.34,0.97,4.66,1.22,65.84,1
572,0.31,0.21,0.3,0.38,47.66,204.34,0.97,4.66,1.22,66.17,0
573,0.32,0.26,0.3,0.36,47.66,204.34,0.97,4.66,1.22,65.81,0
574,0.28,0.13,0.25,0.3,47.66,204.34,0.97,4.66,1.22,65.68,0
575,0.18,0.22,0.23,0.26,47.66,204.34,0.97,4.66,1.09,66.15,0
576,0.22,0.15,0.23,0.26,47.66,204.34,0.97,4.66,1.22,65.99,0
577,0.19,0.23,0.23,0.26,47.66,204.34,0.97,4.66,1.09,66.14,0
578,0.2,0.25,0.25,0.29,47.66,204.34,0.97,4.66,1.24,65.49,0
579,0.22,0.17,0.21,0.24,47.66,204.34,0.97,4.66,1.23,65.66,1
580,0.42,0.24,0.28,0.39,47.66,204.34,0.97,4.66,1.23,65.86,0
581,0.19,0.16,0.26,0.33,47.66,204.34,0.97,4.66,1.22,65.97,0
582,0.25,0.24,0.28,0.35,47.66,204.34,0.97,4.66,1.1,65.68,0
583,0.34,0.15,0.25,0.3,47.66,204.34,0.97,4.66,1.21,66.24,0
584,0.19,0.16,0.19,0.22,47.66,204.34,0.97,4.66,1.22,65.83,0
585,0.2,0.37,0.29,0.41,47.66,204.34,0.97,4.66,1.22,65.88,0
586,0.19,0.24,0.24,0.27,47.66,204.34,0.97,4.66,1.24,65.58,0
587,0.33,0.23,0.28,0.31,47.66,204.34,0.97,4.66,1.22,66.03,0
588,0.2,0.18,0.2,0.26,47.66,204.34,0.97,4.66,1.09,66.18,0
589,0.38,0.24,0.32,0.36,47.66,204.34,0.97,4.66,1.21,66.29,0
590,0.29,0.2,0.27,0.31,47.66,204.34,0.97,4.66,1.21,66.16,0
591,0.28,0.22,0.24,0.28,47.66,204.34,0.97,4.66,1.1,65.69,0
592,0.28,0.22,0.24,0.3,47.66,204.34,0.97,4.66,1.09,65.95,0
593,0.2,0.21,0.24,0.31,47.66,204.34,0.97,4.66,1.22,66.11,0
594,0.28,0.22,0.26,0.32,47.66,204.34,0.97,4.66,1.22,65.86,0
595,0.25,0.19,0.22,0.26,47.66,204.34,0.97,4.66,1.08,66.22,0
596,0.29,0.2,0.28,0.37,47.66,204.34,0.97,4.66,1.23,65.73,0
597,0.26,0.22,0.25,0.27,47.66,204.34,0.97,4.66,1.09,66.19,0
598,0.15,0.23,0.23,0.29,47.66,204.34,0.97,4.66,1.23,65.66,0
599,0.31,0.22,0.28,0.32,47.66,204.34,0.97,4.66,1.09,66.3,0
600,0.3,0.19,0.29,0.36,47.66,204.34,0.97,4.66,1.09,66.1,0
601,0.3,0.22,0.29,0.3,47.66,204.34,0.97,4.66,1.09,66.14,0
602,0.18,0.2,0.21,0.24,47.66,204.34,0.97,4.66,1.22,65.85,0
603,0.21,0.21,0.26,0.28,47.66,204.34,0.97,4.66,1.23,65.67,0
604,0.22,0.15,0.23,0.26,47.66,204.34,0.97,4.66,1.09,66.07,0
605,0.18,0.2,0.24,0.29,47.66,204.34,0.97,4.66,1.22,66.14,0
606,0.36,0.26,0.33,0.34,47.66,204.34,0.97,4.66,1.22,66.1,0
607,0.3,0.17,0.24,0.29,47.66,204.34,0.97,4.66,1.21,66.17,0
608,0.26,0.29,0.3,0.33,47.66,204.34,0.97,4.66,1.09,65.8,0
609,0.26,0.2,0.25,0.29,47.66,204.34,0.97,4.66,1.22,65.97,0
610,0.28,0.23,0.25,0.32,47.66,204.34,0.97,4.66,1.22,66.07,0
611,0.33,0.29,0.33,0.38,47.66,204.34,0.97,4.66,1.09,66.2,0
612,0.28,0.24,0.28,0.34,47.66,204.34,0.97,4.66,1.21,66.26,0
613,0.24,0.21,0.28,0.31,47.66,204.34,0.97,4.66,1.09,66.03,0
614,0.28,0.3,0.29,0.33,47.66,204.34,0.97,4.66,1.09,66.19,0
615,0.21,0.19,0.25,0.27,47.66,204.34,0.97,4.66,1.09,65.95,0
616,0.22,0.26,0.28,0.3,47.66,204.34,0.97,4.66,1.22,66.04,0
617,0.28,0.19,0.24,0.3,47.66,204.34,0.97,4.66,1.09,66.09,0
618,0.25,0.19,0.24,0.26,47.66,204.34,0.97,4.66,1.22,66.16,0
619,0.35,0.25,0.29,0.29,47.66,204.34,0.97,4.66,0.23,65.54,0
620,0.27,0.27,0.38,0.52,47.66,204.34,0.97,4.66,1.22,66.05,0
621,0.22,0.24,0.25,0.3,47.66,204.34,0.97,4.66,1.24,65.57,0
622,0.13,0.14,0.15,0.18,47.66,204.34,0.97,4.66,1.22,66.16,0
623,0.21,0.18,0.2,0.24,47.66,204.34,0.97,4.66,1.23,65.53,0
624,0.26,0.19,0.27,0.26,47.66,204.34,0.97,4.66,1.09,66.2,0
625,0.13,0.17,0.39,0.57,47.66,204.34,0.97,4.66,1.11,65.37,0
